date,count
2025-01-01,0
2025-01-02,0
2025-01-03,11
2025-01-04,19
2025-01-05,1
2025-01-06,0
2025-01-07,7
2025-01-08,1
2025-01-09,0
2025-01-10,1
2025-01-11,0
2025-01-12,0
2025-01-13,0
2025-01-14,0
2025-01-15,2
2025-01-16,3
2025-01-17,5
2025-01-18,1
2025-01-19,0
2025-01-20,2
2025-01-21,3
2025-01-22,0
2025-01-23,1
2025-01-24,0
2025-01-25,15
2025-01-26,0
2025-01-27,12
2025-01-28,0
2025-01-29,2
2025-01-30,10
2025-01-31,7
2025-02-01,6
2025-02-02,6
2025-02-03,3
2025-02-04,21
2025-02-05,1
2025-02-06,2
2025-02-07,0
2025-02-08,0
2025-02-09,0
2025-02-10,5
2025-02-11,1
2025-02-12,0
2025-02-13,8
2025-02-14,0
2025-02-15,16
2025-02-16,7
2025-02-17,4
2025-02-18,2
2025-02-19,0
2025-02-20,4
2025-02-21,0
2025-02-22,0
2025-02-23,0
2025-02-24,25
2025-02-25,1
2025-02-26,0
2025-02-27,7
2025-02-28,1
2025-03-01,0
2025-03-02,0
2025-03-03,1
2025-03-04,3
2025-03-05,2
2025-03-06,0
2025-03-07,16
2025-03-08,0
2025-03-09,0
2025-03-10,1
2025-03-11,0
2025-03-12,1
2025-03-13,0
2025-03-14,9
2025-03-15,8
2025-03-16,0
2025-03-17,6
2025-03-18,6
2025-03-19,7
2025-03-20,0
2025-03-21,2
2025-03-22,0
2025-03-23,0
2025-03-24,25
2025-03-25,0
2025-03-26,2
2025-03-27,0
2025-03-28,2
2025-03-29,13
2025-03-30,0
2025-03-31,0
2025-04-01,3
2025-04-02,5
2025-04-03,24
2025-04-04,2
2025-04-05,3
2025-04-06,1
2025-04-07,0
2025-04-08,4
2025-04-09,0
2025-04-10,3
2025-04-11,13
2025-04-12,7
2025-04-13,0
2025-04-14,0
2025-04-15,4
2025-04-16,17
2025-04-17,9
2025-04-18,0
2025-04-19,0
2025-04-20,2
